sample_id	block_id	expected_lineage	expected_families	families_detected	all_families_detected	distinct_target_proteins	one_contig	observed_gene_span	frozen_maximum_gene_span	syntenic_block_present	missing_family_ids	target_contigs	external_qc_pass
mv67	TMI_aromatic_catabolism_associated_block	TMI	26	0	False	False	False		35	False	LOCAL_Mi1__gene00014;LOCAL_Mi1__gene00015;LOCAL_Mi1__gene00016;LOCAL_Mi1__gene00017;LOCAL_Mi1__gene00018;LOCAL_Mi1__gene00019;LOCAL_Mi1__gene00020;LOCAL_Mi1__gene00021;LOCAL_Mi1__gene00022;LOCAL_Mi1__gene00023;LOCAL_Mi1__gene00024;LOCAL_Mi1__gene00025;LOCAL_Mi1__gene00026;LOCAL_Mi1__gene00027;LOCAL_Mi1__gene00028;LOCAL_Mi1__gene00029;LOCAL_Mi1__gene00030;LOCAL_Mi1__gene00031;LOCAL_Mi1__gene00032;LOCAL_Mi1__gene00033;LOCAL_Mi1__gene00034;LOCAL_Mi1__gene00035;LOCAL_Mi1__gene00036;LOCAL_Mi1__gene00037;LOCAL_Mi1__gene00038;LOCAL_Mi1__gene00039		True
mv71	MP_MIP_nitrogen_redox_associated_block	MP_MIP	3	3	True	True	True	9.0	15	True		NODE_1_length_1106764_cov_130.527594	True
mv71	MP_MIP_oxidoreductase_associated_block	MP_MIP	5	5	True	True	True	5.0	10	True		NODE_7_length_264951_cov_130.739299	True
mv71	TMI_methyltransferase_hydrolase_cupin_block	TMI	5	0	False	False	False		10	False	LOCAL_Mi1__gene00389;LOCAL_Mi1__gene00390;LOCAL_Mi1__gene00391;LOCAL_Mi1__gene00392;LOCAL_Mi1__gene00393		True
mv71	TMI_aromatic_catabolism_associated_block	TMI	26	0	False	False	False		35	False	LOCAL_Mi1__gene00014;LOCAL_Mi1__gene00015;LOCAL_Mi1__gene00016;LOCAL_Mi1__gene00017;LOCAL_Mi1__gene00018;LOCAL_Mi1__gene00019;LOCAL_Mi1__gene00020;LOCAL_Mi1__gene00021;LOCAL_Mi1__gene00022;LOCAL_Mi1__gene00023;LOCAL_Mi1__gene00024;LOCAL_Mi1__gene00025;LOCAL_Mi1__gene00026;LOCAL_Mi1__gene00027;LOCAL_Mi1__gene00028;LOCAL_Mi1__gene00029;LOCAL_Mi1__gene00030;LOCAL_Mi1__gene00031;LOCAL_Mi1__gene00032;LOCAL_Mi1__gene00033;LOCAL_Mi1__gene00034;LOCAL_Mi1__gene00035;LOCAL_Mi1__gene00036;LOCAL_Mi1__gene00037;LOCAL_Mi1__gene00038;LOCAL_Mi1__gene00039		True
mv65	MP_MIP_nitrogen_redox_associated_block	MP_MIP	3	0	False	False	False		15	False	LOCAL_Ma20__gene01170;LOCAL_Ma20__gene01177;LOCAL_Ma20__gene01178		True
mv65	MP_MIP_oxidoreductase_associated_block	MP_MIP	5	0	False	False	False		10	False	LOCAL_Ma20__gene02160;LOCAL_Ma20__gene02161;LOCAL_Ma20__gene02162;LOCAL_Ma20__gene02163;LOCAL_Ma20__gene02164		True
mv65	TMI_methyltransferase_hydrolase_cupin_block	TMI	5	0	False	False	False		10	False	LOCAL_Mi1__gene00389;LOCAL_Mi1__gene00390;LOCAL_Mi1__gene00391;LOCAL_Mi1__gene00392;LOCAL_Mi1__gene00393		True
mv65	TMI_aromatic_catabolism_associated_block	TMI	26	0	False	False	False		35	False	LOCAL_Mi1__gene00014;LOCAL_Mi1__gene00015;LOCAL_Mi1__gene00016;LOCAL_Mi1__gene00017;LOCAL_Mi1__gene00018;LOCAL_Mi1__gene00019;LOCAL_Mi1__gene00020;LOCAL_Mi1__gene00021;LOCAL_Mi1__gene00022;LOCAL_Mi1__gene00023;LOCAL_Mi1__gene00024;LOCAL_Mi1__gene00025;LOCAL_Mi1__gene00026;LOCAL_Mi1__gene00027;LOCAL_Mi1__gene00028;LOCAL_Mi1__gene00029;LOCAL_Mi1__gene00030;LOCAL_Mi1__gene00031;LOCAL_Mi1__gene00032;LOCAL_Mi1__gene00033;LOCAL_Mi1__gene00034;LOCAL_Mi1__gene00035;LOCAL_Mi1__gene00036;LOCAL_Mi1__gene00037;LOCAL_Mi1__gene00038;LOCAL_Mi1__gene00039		True
mv91	MP_MIP_nitrogen_redox_associated_block	MP_MIP	3	0	False	False	False		15	False	LOCAL_Ma20__gene01170;LOCAL_Ma20__gene01177;LOCAL_Ma20__gene01178		True
mv91	MP_MIP_oxidoreductase_associated_block	MP_MIP	5	0	False	False	False		10	False	LOCAL_Ma20__gene02160;LOCAL_Ma20__gene02161;LOCAL_Ma20__gene02162;LOCAL_Ma20__gene02163;LOCAL_Ma20__gene02164		True
mv91	TMI_methyltransferase_hydrolase_cupin_block	TMI	5	0	False	False	False		10	False	LOCAL_Mi1__gene00389;LOCAL_Mi1__gene00390;LOCAL_Mi1__gene00391;LOCAL_Mi1__gene00392;LOCAL_Mi1__gene00393		True
mv91	TMI_aromatic_catabolism_associated_block	TMI	26	0	False	False	False		35	False	LOCAL_Mi1__gene00014;LOCAL_Mi1__gene00015;LOCAL_Mi1__gene00016;LOCAL_Mi1__gene00017;LOCAL_Mi1__gene00018;LOCAL_Mi1__gene00019;LOCAL_Mi1__gene00020;LOCAL_Mi1__gene00021;LOCAL_Mi1__gene00022;LOCAL_Mi1__gene00023;LOCAL_Mi1__gene00024;LOCAL_Mi1__gene00025;LOCAL_Mi1__gene00026;LOCAL_Mi1__gene00027;LOCAL_Mi1__gene00028;LOCAL_Mi1__gene00029;LOCAL_Mi1__gene00030;LOCAL_Mi1__gene00031;LOCAL_Mi1__gene00032;LOCAL_Mi1__gene00033;LOCAL_Mi1__gene00034;LOCAL_Mi1__gene00035;LOCAL_Mi1__gene00036;LOCAL_Mi1__gene00037;LOCAL_Mi1__gene00038;LOCAL_Mi1__gene00039		True
